Average Train Loss 0.00337101 | step 1980 | Epoch 0
Average Train Loss 0.00341925 | step 1990 | Epoch 0
Average Train Loss 0.00357199 | step 2000 | Epoch 0
Average Validation Loss 0.00363951 | step 2000 | Epoch 0
Average Train Loss 0.00376193 | step 2010 | Epoch 0
Average Train Loss 0.00356315 | step 2020 | Epoch 0
Average Train Loss 0.00369229 | step 2030 | Epoch 0
Average Train Loss 0.00343240 | step 2040 | Epoch 0
Average Train Loss 0.00348829 | step 2050 | Epoch 0
Average Train Loss 0.00349809 | step 2060 | Epoch 0
Average Train Loss 0.00324660 | step 2070 | Epoch 0
Average Train Loss 0.00342336 | step 2080 | Epoch 0
Average Train Loss 0.00334863 | step 2090 | Epoch 0
Average Train Loss 0.00345296 | step 2100 | Epoch 0
Average Train Loss 0.00330369 | step 2110 | Epoch 0
Average Train Loss 0.00362849 | step 2120 | Epoch 0
Average Train Loss 0.00349594 | step 2130 | Epoch 0
Average Train Loss 0.00331862 | step 2140 | Epoch 0
Average Train Loss 0.00331754 | step 2150 | Epoch 0
Average Train Loss 0.00335813 | step 2160 | Epoch 0
Average Train Loss 0.00357340 | step 2170 | Epoch 0
Average Train Loss 0.00360854 | step 2180 | Epoch 0
Average Train Loss 0.00328505 | step 2190 | Epoch 0
Average Train Loss 0.00355450 | step 2200 | Epoch 0
Average Train Loss 0.00349990 | step 2210 | Epoch 0
Average Train Loss 0.00349419 | step 2220 | Epoch 0
Average Train Loss 0.00333676 | step 2230 | Epoch 0
Average Train Loss 0.00328982 | step 2240 | Epoch 0
Average Train Loss 0.00345799 | step 2250 | Epoch 0
Average Train Loss 0.00345841 | step 2260 | Epoch 0
Average Train Loss 0.00325504 | step 2270 | Epoch 0
Average Train Loss 0.00349925 | step 2280 | Epoch 0
Average Train Loss 0.00344141 | step 2290 | Epoch 0
Average Train Loss 0.00334255 | step 2300 | Epoch 0
Average Train Loss 0.00344343 | step 2310 | Epoch 0
Average Train Loss 0.00335080 | step 2320 | Epoch 0
Average Train Loss 0.00324476 | step 2330 | Epoch 0
Average Train Loss 0.00328712 | step 2340 | Epoch 0
Average Train Loss 0.00304397 | step 2350 | Epoch 0
Average Train Loss 0.00330657 | step 2360 | Epoch 0
Average Train Loss 0.00324596 | step 2370 | Epoch 0
Average Train Loss 0.00334356 | step 2380 | Epoch 0
Average Train Loss 0.00331358 | step 2390 | Epoch 0
Average Train Loss 0.00318677 | step 2400 | Epoch 0
Average Train Loss 0.00343038 | step 2410 | Epoch 0
Average Train Loss 0.00312583 | step 2420 | Epoch 0
Average Train Loss 0.00324789 | step 2430 | Epoch 0
Average Train Loss 0.00325628 | step 2440 | Epoch 0
Average Train Loss 0.00350160 | step 2450 | Epoch 0
Average Train Loss 0.00351681 | step 2460 | Epoch 0
Average Train Loss 0.00348468 | step 2470 | Epoch 0
Average Train Loss 0.00346507 | step 2480 | Epoch 0
Average Train Loss 0.00343245 | step 2490 | Epoch 0
Average Train Loss 0.00327286 | step 2500 | Epoch 0
Average Train Loss 0.00334996 | step 2510 | Epoch 0
Average Train Loss 0.00349112 | step 2520 | Epoch 0
Average Train Loss 0.00329361 | step 2530 | Epoch 0
Average Train Loss 0.00335405 | step 2540 | Epoch 0
Average Train Loss 0.00313174 | step 2550 | Epoch 0
Average Train Loss 0.00317802 | step 2560 | Epoch 0
Average Train Loss 0.00322894 | step 2570 | Epoch 0
Average Train Loss 0.00305401 | step 2580 | Epoch 0
Average Train Loss 0.00328748 | step 2590 | Epoch 0
Average Train Loss 0.00339902 | step 2600 | Epoch 0
Average Train Loss 0.00303404 | step 2610 | Epoch 0
Average Train Loss 0.00316897 | step 2620 | Epoch 0
Average Train Loss 0.00322656 | step 2630 | Epoch 0
Average Train Loss 0.00321582 | step 2640 | Epoch 0
Average Train Loss 0.00342170 | step 2650 | Epoch 0
Average Train Loss 0.00318658 | step 2660 | Epoch 0
Average Train Loss 0.00330260 | step 2670 | Epoch 0
Average Train Loss 0.00326558 | step 2680 | Epoch 0
Average Train Loss 0.00339794 | step 2690 | Epoch 0
Average Train Loss 0.00338703 | step 2700 | Epoch 0
Average Train Loss 0.00322419 | step 2710 | Epoch 0
Average Train Loss 0.00309690 | step 2720 | Epoch 0
Average Train Loss 0.00305174 | step 2730 | Epoch 0
Average Train Loss 0.00330344 | step 2740 | Epoch 0
Average Train Loss 0.00329099 | step 2750 | Epoch 0
Average Train Loss 0.00297264 | step 2760 | Epoch 0
Average Train Loss 0.00321432 | step 2770 | Epoch 0
Average Train Loss 0.00326622 | step 2780 | Epoch 0
Average Train Loss 0.00306659 | step 2790 | Epoch 0
Average Train Loss 0.00328478 | step 2800 | Epoch 0
Average Train Loss 0.00293838 | step 2810 | Epoch 0
Average Train Loss 0.00305874 | step 2820 | Epoch 0
Average Train Loss 0.00303198 | step 2830 | Epoch 0
Average Train Loss 0.00310249 | step 2840 | Epoch 0
Average Train Loss 0.00334709 | step 2850 | Epoch 0
Average Train Loss 0.00301516 | step 2860 | Epoch 0
Average Train Loss 0.00321894 | step 2870 | Epoch 0
Average Train Loss 0.00312891 | step 2880 | Epoch 0
Average Train Loss 0.00325029 | step 2890 | Epoch 0
Average Train Loss 0.00317354 | step 2900 | Epoch 0
Average Train Loss 0.00309028 | step 2910 | Epoch 0
Average Train Loss 0.00300609 | step 2920 | Epoch 0
Average Train Loss 0.00289539 | step 2930 | Epoch 0
Average Train Loss 0.00307155 | step 2940 | Epoch 0
